date,weight_lb,distancewalkingrunning_7day_sum
2019-03-04,177.0,3.9899999999999998
2019-07-04,176.899,21.25
2019-07-08,176.599,22.910000000000004
2019-07-09,175.801,23.650000000000002
2019-07-11,173.799,27.86
2019-07-12,173.601,27.61
2019-07-19,175.199,29.409999999999997
2019-07-24,174.8,41.14
2019-07-25,174.2,39.81
2019-07-26,174.2,37.11000000000001
2019-07-27,176.5,39.07
2019-07-29,174.0,34.190000000000005
2019-07-31,173.2,34.519999999999996
2019-11-13,171.8,22.900000000000002
2021-07-28,190.001,25.3
2021-08-28,191.2,22.549999999999997
2021-09-29,189.0,42.8
2021-10-20,181.0,32.78
2022-06-22,172.4,73.02999999999999
2022-07-24,174.0,43.32
2022-09-22,169.0,19.509999999999998
2022-11-30,174.0,33.04
2022-12-01,178.0,35.44
2022-12-02,176.9,39.059999999999995
2022-12-07,175.4,22.45
2022-12-08,175.7,20.09
2022-12-29,172.7,33.93
2023-02-06,174.8,19.659999999999997
2023-08-23,190.1,16.64
2024-01-29,195.0,12.27
2024-04-01,193.0,8.990000000000002
2024-05-27,191.0,12.729999999999999
2024-08-04,205.8,9.51
2024-08-07,196.0,12.700000000000001
2024-08-11,197.2,17.97
2024-08-28,195.6,8.700000000000001
2024-09-19,193.1,10.0
2024-10-05,192.2,14.78
2024-11-24,189.2,10.469999999999999
2024-12-28,186.4,10.6
2025-01-07,186.0,13.989999999999998
2025-01-29,181.8,12.42
2025-02-21,181.6,13.36
2025-05-28,184.6,8.2
2025-07-30,184.6,13.579999999999998
2025-10-14,177.2,14.550000000000002
2025-12-11,175.6,6.199999999999999
2026-04-28,173.2,24.01
2026-05-15,173.195,18.05
2026-06-10,177.4,20.540000000000003
2026-06-12,175.6,19.990000000000002
2026-06-25,178.0,
